Slice,Area_Total(px),Densidad_Media(HU_prox)
0,2889,159.538
1,2557,166.485
2,3210,156.006
3,3457,153.695
4,4772,152.337
5,5135,153.854
6,4759,150.693
7,3114,143.821
8,3036,138.962
9,3466,142.093
10,3370,140.944
11,3706,143.093
12,3733,140.509
13,5073,138.377
14,5424,144.033
15,5538,142.866
16,5248,141.113
17,5537,145.807
18,5240,140.219
19,5300,147.021
20,4836,144.179
21,4380,143.9
22,4186,143.175
23,4456,146.761
24,4222,142.719
25,4485,144.807
26,4399,145.397
27,4501,147.998
28,3612,153.746
29,4465,148.626
30,4769,152.91
31,4074,150.191
32,3116,148.003
33,2830,153.936
34,2134,164.562
35,1776,163.591
36,2427,145.532
37,2706,148.05
38,2793,148.007
39,2777,147.126
40,3731,143.098
41,3928,146.6
42,3961,149.004
43,4261,150.767
44,4279,151.479
45,2951,153.245
46,3017,149.642
47,3048,150.188
48,2938,142.491
49,4504,141.546
50,3091,141.07
51,4383,135.955
52,4602,137.738
53,4681,140.906
54,4773,140.911
55,4871,143.222
56,4791,142.406
57,3338,147.522
58,3281,146.011
59,3194,146.358
60,3076,145.808
61,3085,146.558
62,2725,144.651
63,2515,150.062
64,2566,156.932
65,2510,155.232
66,2432,152.5
67,2528,153.498
68,3879,152.228
69,3936,156.728
70,3922,154.011
71,2237,161.559
72,1671,170.942
73,1634,172.84
74,1609,170.49
75,2348,148.131
76,2479,144.999
77,1683,167.137
78,3878,143.533
79,3902,140.689
80,1725,168.652
81,3242,148.775
82,1735,164.914
83,2147,158.865
84,2302,153.634
85,3854,141.651
86,2094,144.506
87,2333,144.034
88,3708,139.328
89,908,161.519
90,1656,152.458
91,3748,136.934
92,4073,142.089
93,3922,141.981
94,3657,137.705
95,3982,144.567
96,3969,148.503
97,3743,145.383
98,3647,140.218
99,2142,142.967
100,2004,139.478
101,1957,141.979
102,2033,143.86
103,2091,149.682
104,1985,148.337
105,1892,149.528
106,3728,146.027
107,3796,146.284
108,3737,146.678
109,3708,145.636
110,3653,150.572
111,1887,146.506
112,1819,158.13
113,1223,170.661
114,1146,168.613
115,1097,167.387
116,1075,169.457
117,1700,144.604
118,1833,141.567
119,2777,139.585
120,3060,142.13
121,1230,157.073
122,1901,144.517
123,1342,159.155
124,3033,144.53
125,1198,157.639
126,4415,144.716
127,2937,142.285
128,2697,139.195
129,3083,142.549
130,3143,138.543
131,1369,153.611
132,1945,144.893
133,1277,148.782
134,1331,149.754
135,1941,133.872
136,3678,138.205
137,3583,138.245
138,3615,143.599
139,3583,145.256
140,3447,141.038
141,3082,146.096
142,3177,137.872
143,3372,139.123
144,2977,131.937
145,1821,142.092
146,1538,141.855
147,1495,141.031
148,790,160.454
149,798,158.548
150,829,160.801
151,2990,136.222
152,3111,145.068
153,2003,150.355
154,1670,152.024
155,1205,142.318
156,730,171.681
157,808,173.342
158,778,169.452
159,834,163.46
